Source      ,Target       ,category        ,Weight
PA134963132 ,PA446169     ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:10843   ,ASSOCIATED_WITH ,     1
PA134952671 ,PA445378     ,ASSOCIATED_WITH ,     1
PA134952671 ,PA165108855  ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:13801   ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:4411    ,ASSOCIATED_WITH ,     1
PA134952671 ,PA445845     ,ASSOCIATED_WITH ,     1
PA134952671 ,PA444435     ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:10841   ,ASSOCIATED_WITH ,     1
PA134952671 ,PA444903     ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:0050197 ,ASSOCIATED_WITH ,     1
PA134952671 ,PA444797     ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:1273    ,ASSOCIATED_WITH ,     1
PA134952671 ,PA165108230  ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:0050194 ,ASSOCIATED_WITH ,     1
PA134952671 ,PA445015     ,ASSOCIATED_WITH ,     1
PA134952671 ,DOID:0050195 ,ASSOCIATED_WITH ,     1
PA134952671 ,PA444445     ,ASSOCIATED_WITH ,     1
PA134952671 ,PA444437     ,ASSOCIATED_WITH ,     1
PA134952671 ,PA165108380  ,ASSOCIATED_WITH ,     1
PA85        ,DOID:4964    ,ASSOCIATED_WITH ,     1
PA85        ,PA443450     ,ASSOCIATED_WITH ,     1
PA85        ,PA445735     ,ASSOCIATED_WITH ,     1
PA27103     ,DOID:635     ,ASSOCIATED_WITH ,     1
PA27103     ,DOID:526     ,ASSOCIATED_WITH ,     1
PA245       ,PA446010     ,ASSOCIATED_WITH ,     1
PA245       ,PA445828     ,ASSOCIATED_WITH ,     1
PA245       ,PA446304     ,ASSOCIATED_WITH ,     1
PA245       ,DOID:3683    ,ASSOCIATED_WITH ,     1
PA245       ,PA444352     ,ASSOCIATED_WITH ,     1
PA245       ,PA445601     ,ASSOCIATED_WITH ,     1
PA245       ,PA445934     ,ASSOCIATED_WITH ,     1
PA245       ,PA444840     ,ASSOCIATED_WITH ,     1
PA245       ,PA445724     ,ASSOCIATED_WITH ,     1
PA245       ,PA444760     ,ASSOCIATED_WITH ,     1
PA245       ,PA445594     ,ASSOCIATED_WITH ,     1
PA245       ,PA445010     ,ASSOCIATED_WITH ,     1
PA245       ,PA446180     ,ASSOCIATED_WITH ,     1
PA245       ,PA443560     ,ASSOCIATED_WITH ,     1
PA245       ,DOID:4398    ,ASSOCIATED_WITH ,     1
PA245       ,PA445742     ,ASSOCIATED_WITH ,     1
PA245       ,PA443815     ,ASSOCIATED_WITH ,     1
PA245       ,PA446477     ,ASSOCIATED_WITH ,     1
PA245       ,PA445272     ,ASSOCIATED_WITH ,     1
PA245       ,PA444845     ,ASSOCIATED_WITH ,     1
PA245       ,PA444750     ,ASSOCIATED_WITH ,     1
PA245       ,PA443434     ,ASSOCIATED_WITH ,     1
PA245       ,PA443433     ,ASSOCIATED_WITH ,     1
PA245       ,DOID:0080639 ,ASSOCIATED_WITH ,     1
PA245       ,PA445451     ,ASSOCIATED_WITH ,     1
PA245       ,PA445818     ,ASSOCIATED_WITH ,     1
PA245       ,PA443750     ,ASSOCIATED_WITH ,     1
PA245       ,PA445379     ,ASSOCIATED_WITH ,     1
PA245       ,DOID:0060329 ,ASSOCIATED_WITH ,     1
PA245       ,PA446366     ,ASSOCIATED_WITH ,     1
PA245       ,PA160680212  ,ASSOCIATED_WITH ,     1
PA245       ,PA443430     ,ASSOCIATED_WITH ,     1
PA245       ,PA444101     ,ASSOCIATED_WITH ,     1
PA245       ,DOID:3234    ,ASSOCIATED_WITH ,     1
PA31274     ,PA445338     ,ASSOCIATED_WITH ,     1
PA31274     ,PA445355     ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:9113    ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:104     ,ASSOCIATED_WITH ,     1
PA31274     ,DOID:10773   ,ASSOCIATED_WITH ,     1
PA31274     ,PA444915     ,ASSOCIATED_WITH ,     1
PA31274     ,PA444034     ,ASSOCIATED_WITH ,     1
PA31274     ,PA166048734  ,ASSOCIATED_WITH ,     1
