Source,Target,Type,Category
00682,PA449750,Dirigé,interacts with
PA448498,PA450965,Dirigé,interacts with
PA164742986,PA448498,Dirigé,interacts with
PA10074,PA450965,Dirigé,interacts with
PA449015,PA448383,Dirigé,interacts with
PA153619853,PA448383,Dirigé,interacts with
PA451209,PA448486,Dirigé,interacts with
PA451457,PA448486,Dirigé,interacts with
PA450705,PA153619853,Dirigé,interacts with
PA449015,PA153619853,Dirigé,interacts with
PA451209,PA449072,Dirigé,interacts with
PA451457,PA449072,Dirigé,interacts with
PA450850,PA451209,Dirigé,interacts with
PA450705,PA448383,Dirigé,interacts with
PA164742986,PA10074,Dirigé,interacts with
PA448964,PA10074,Dirigé,interacts with
PA449015,PA450705,Dirigé,interacts with
PA153619853,PA450705,Dirigé,interacts with
PA448964,PA450555,Dirigé,interacts with
PA164742986,PA450555,Dirigé,interacts with
PA164742986,PA451209,Dirigé,interacts with
PA451457,PA451666,Dirigé,interacts with
PA164742986,PA448383,Dirigé,interacts with
PA449599,DOID:6364,Dirigé,treats
PA449599,DOID:3223,Dirigé,treats
PA449599,PA445301,Dirigé,treats
PA448964,PA448383,Dirigé,interacts with
PA449599,DOID:302,Dirigé,treats
PA449422,PA448964,Dirigé,interacts with
PA450401,PA448964,Dirigé,interacts with
PA451209,PA451666,Dirigé,interacts with
PA449599,PA448383,Dirigé,interacts with
PA450401,PA450101,Dirigé,interacts with
PA448964,PA450850,Dirigé,interacts with
PA450401,PA153619853,Dirigé,interacts with
PA449422,PA164742986,Dirigé,interacts with
PA450401,PA164742986,Dirigé,interacts with
PA450403,PA447197,Dirigé,treats
PA450403,PA450101,Dirigé,interacts with
PA450403,PA445131,Dirigé,treats
PA164742986,PA450850,Dirigé,interacts with
PA448498,PA448519,Dirigé,interacts with
PA448408,PA450101,Dirigé,interacts with
PA449422,PA153619853,Dirigé,interacts with
PA448964,PA451209,Dirigé,interacts with
PA448408,PA447197,Dirigé,treats
PA10074,PA448519,Dirigé,interacts with
PA448964,PA451457,Dirigé,interacts with
PA164742986,PA449011,Dirigé,interacts with
PA164742986,PA449373,Dirigé,interacts with
PA448964,PA449011,Dirigé,interacts with
PA448964,PA449373,Dirigé,interacts with
PA164742986,PA451457,Dirigé,interacts with
PA448964,PA451108,Dirigé,interacts with
PA449422,PA449015,Dirigé,interacts with
PA450401,PA449015,Dirigé,interacts with
PA164742986,PA451108,Dirigé,interacts with
PA449599,PA451112,Dirigé,interacts with
PA450801,DOID:14320,Dirigé,treats
PA449273,PA445047,Dirigé,treats
PA450801,PA447196,Dirigé,treats
PA450801,DOID:4964,Dirigé,treats
PA451168,DOID:4964,Dirigé,treats
PA449273,PA451112,Dirigé,interacts with
PA450801,PA451112,Dirigé,interacts with
PA451168,PA451112,Dirigé,interacts with
PA164742986,PA451472,Dirigé,interacts with
PA448964,PA451472,Dirigé,interacts with
PA451333,DOID:150,Dirigé,treats
PA451333,DOID:0050432,Dirigé,treats
PA451333,PA447212,Dirigé,treats
PA451333,PA447211,Dirigé,treats
PA451333,DOID:2055,Dirigé,treats
PA451333,PA451112,Dirigé,interacts with
PA451333,PA447196,Dirigé,treats
PA451333,PA152530886,Dirigé,treats
PA451333,DOID:4964,Dirigé,treats
PA451333,PA447294,Dirigé,treats
PA451333,DOID:14320,Dirigé,treats
PA449273,PA451741,Dirigé,interacts with
PA450801,PA451741,Dirigé,interacts with
PA451168,PA451741,Dirigé,interacts with
PA450801,PA152530886,Dirigé,treats
PA450801,DOID:11257,Dirigé,treats
